yelpid,closed,scrapedurl,name,rating,review,verified,pricerange,categorylist,photos,phone,address,morebusinessinfo,openingtimes,lat,lng,seg
rustic-l-e-s-new-york-9,True,https://www.yelp.com/biz/bistroshopp-new-york-19,BistroShopp,5.0,1,Claimed,$,"Food Stands, Burgers, Fast Food",0,(646) 833-0848,"124 Ridge St New York, NY 10002",NA,Mon: Closed | Tue: Closed | Wed: 5:00 PM - 10:30 PM | Thu: 5:00 PM - 11:00 PM | Fri: 5:00 PM - 12:00 AM (Next day) | Sat: 5:00 PM - 12:00 AM (Next day) | Sun: 5:00 PM - 12:00 AM (Next day),,,0
fishtag-new-york,True,https://www.yelp.com/biz/fishtag-new-york,FISHTAG,3.8,436,Claimed,$$$,"Seafood, Mediterranean, Breakfast & Brunch",298,(212) 362-7470,"222 W 79th St New York, NY 10024","Takes Reservations, No Delivery, No Takeout, Accepts Credit Cards, Intimate, Moderate Noise, Good for Groups, Good for Dinner, Street Parking, Waiter Service, Full Bar, Gender-neutral restrooms, No Outdoor Seating, Offers Catering, Not Good For Kids, No Wi-Fi, No TV, Bike Parking","Mon: 5:00 PM - 10:00 PM | Tue: 5:00 PM - 10:00 PM | Wed: 5:00 PM - 10:00 PM | Thu: 5:00 PM - 10:00 PM | Fri: 5:00 PM - 11:00 PM | Sat: 12:00 PM - 3:00 PM, 5:00 PM - 11:00 PM | Sun: 12:00 PM - 3:00 PM, 5:00 PM - 10:00 PM",,,0
juventino-brooklyn,True,https://www.yelp.com/biz/juventino-brooklyn,Juventino,3.8,419,Claimed,$$,"New American, Mexican",226,(718) 360-8469,"370 5th Ave Brooklyn, NY 11215","Takes Reservations, Offers Takeout, Accepts Credit Cards, Outdoor Seating, Moderate Noise, Good for Groups, Good For Kids, Good for Brunch, Beer & Wine Only, Offers Catering, No Wi-Fi, No TV, Bike Parking","Mon: 10:00 AM - 4:00 PM | Tue: 10:00 AM - 4:00 PM, 5:30 PM - 10:00 PM | Wed: 10:00 AM - 4:00 PM, 5:30 PM - 10:00 PM | Thu: 10:00 AM - 4:00 PM, 5:30 PM - 10:00 PM | Fri: 10:00 AM - 4:00 PM, 5:30 PM - 11:00 PM | Sat: 10:00 AM - 4:00 PM, 5:30 PM - 11:00 PM | Sun: 10:00 AM - 4:00 PM, 5:30 PM - 9:00 PM",,,0
papaye-bronx,False,https://www.yelp.com/biz/papaye-bronx,Papaye,3.4,37,Claimed,$$,African,45,(718) 676-0771,"2300 Grand Concourse Bronx, NY 10458","Health Score A, Offers Delivery, Offers Takeout, No Reservations, Many Vegetarian Options, Accepts Credit Cards, Accepts Apple Pay, Outdoor Seating, Classy, Loud, Offers Catering, Good for Groups, Good For Kids, Good for Brunch, Street Parking, Free Wi-Fi, Wheelchair Accessible, TV, Open to All, No Alcohol, Dogs Not Allowed, No Bike Parking",Mon: 12:00 PM - 12:00 AM (Next day) | Tue: 12:00 PM - 12:00 AM (Next day) | Wed: 12:00 PM - 12:00 AM (Next day) | Thu: 12:00 PM - 12:00 AM (Next day) | Fri: 12:00 PM - 12:00 AM (Next day) | Sat: 12:00 PM - 12:00 AM (Next day) | Sun: 12:00 PM - 5:00 PM,,,0
jimmys-no-43-new-york,True,https://www.yelp.com/biz/jimmys-no-43-new-york,Jimmy's No 43,3.6,397,Claimed,$$,"Burgers, Beer Bar",82,(212) 982-3006,"43 E 7th St New York, NY 10003","Takes Reservations, No Delivery, No Takeout, Accepts Credit Cards, Accepts Apple Pay, Accepts Cryptocurrency, Casual, Moderate Noise, Offers Catering, Good for Groups, Street Parking, Full Bar, Gender-neutral restrooms, No Outdoor Seating, Not Good For Kids, No Wi-Fi, No TV, No Bike Parking",Mon: 2:00 PM - 1:00 AM (Next day) | Tue: 2:00 PM - 1:00 AM (Next day) | Wed: 2:00 PM - 2:00 AM (Next day) | Thu: 2:00 PM - 2:00 AM (Next day) | Fri: 1:00 PM - 4:00 AM (Next day) | Sat: 1:00 PM - 4:00 AM (Next day) | Sun: 1:00 PM - 1:00 AM (Next day),,,0
north-end-grill-new-york,True,https://www.yelp.com/biz/north-end-grill-new-york,North End Grill,3.9,383,Claimed,$$$,"Bars, American, Pizza",451,(646) 747-1600,"104 N End Ave New York, NY 10282","Takes Reservations, Offers Delivery, Offers Takeout, Accepts Credit Cards, Accepts Android Pay, Accepts Apple Pay, Accepts Cryptocurrency, Outdoor Seating, Upscale, Moderate Noise, Good for Groups, Good for Dinner, Street Parking, Waiter Service, Free Wi-Fi, Full Bar, Wheelchair Accessible, Gender-neutral restrooms, Offers Catering, Not Good For Kids, No Pool Table, No Smoking, Dogs Not Allowed, No TV, Bike Parking",Mon: 11:30 AM - 10:00 PM | Tue: 11:30 AM - 10:00 PM | Wed: 11:30 AM - 10:00 PM | Thu: 11:30 AM - 10:00 PM | Fri: 11:30 AM - 10:30 PM | Sat: 11:00 AM - 10:30 PM | Sun: Closed,,,0
yun-nan-flavor-garden-brooklyn,False,https://www.yelp.com/biz/yun-nan-flavor-garden-brooklyn,Yun Nan Flavor Garden,4.1,346,Claimed,$,"Chinese, Noodles",549,(718) 633-3090,"5121 8th Ave Brooklyn, NY 11220","No Reservations, Many Vegetarian Options, Accepts Credit Cards, Accepts Android Pay, Accepts Apple Pay, Casual, Classy, Moderate Noise, Good for Groups, Good For Kids, Good for Lunch, Dinner, Street Parking, Waiter Service, TV, Gender-neutral restrooms, Offers Catering, No Wi-Fi, No Happy Hour, No Alcohol, Dogs Not Allowed, Bike Parking",Mon: 9:30 AM - 8:00 PM | Tue: 9:30 AM - 8:00 PM | Wed: 9:30 AM - 8:00 PM | Thu: 9:30 AM - 8:00 PM | Fri: 9:30 AM - 8:00 PM | Sat: 9:30 AM - 8:00 PM | Sun: 9:30 AM - 8:00 PM,,,0
al-safa-restaurant-brooklyn,True,https://www.yelp.com/biz/al-safa-restaurant-brooklyn,Al Safa Restaurant,3.5,51,Claimed,$,Lebanese,11,(718) 238-9576,"8002 5th Ave Brooklyn, NY 11209","Offers Delivery, Offers Takeout, No Reservations, Accepts Credit Cards, Casual, Quiet, Casual Dress, Good for Groups, Good For Kids, Street Parking, TV, No Outdoor Seating, Offers Catering, No Wi-Fi, No Alcohol, Bike Parking",Mon: 9:00 AM - 10:00 PM | Tue: 9:00 AM - 10:00 PM | Wed: 9:00 AM - 10:00 PM | Thu: 9:00 AM - 10:00 PM | Fri: 9:00 AM - 10:00 PM | Sat: 9:00 AM - 10:00 PM | Sun: 9:00 AM - 10:00 PM,,,0
la-sirena-ristorante-new-york-3,True,https://www.yelp.com/biz/la-sirena-ristorante-new-york-3,La Sirena Ristorante,3.4,332,Claimed,$$$,"Italian, Breakfast & Brunch, Bars",759,(212) 977-6096,"88 9th Ave New York, NY 10011","Takes Reservations, No Delivery, No Takeout, Accepts Credit Cards, Accepts Android Pay, Accepts Apple Pay, Outdoor Seating, Trendy, Moderate Noise, Dressy, Good for Groups, Good for Dinner, Street Parking, Waiter Service, Free Wi-Fi, Full Bar, Wheelchair Accessible, Offers Catering, Not Good For Kids, Not Good For Dancing, No TV, Bike Parking","Mon: 5:00 PM - 10:00 PM | Tue: 5:00 PM - 11:00 PM | Wed: 5:00 PM - 11:00 PM | Thu: 5:00 PM - 11:00 PM | Fri: 5:00 PM - 12:00 AM (Next day) | Sat: 11:00 AM - 3:00 PM, 3:30 PM - 12:00 AM (Next day) | Sun: 11:00 AM - 3:00 PM, 3:30 PM - 10:00 PM",,,0
abv-new-york-2,True,https://www.yelp.com/biz/abv-new-york-2,ABV,3.5,311,Claimed,$$,"Wine Bars, New American",135,(212) 722-8959,"1504 Lexington Ave New York, NY 10029","Takes Reservations, No Delivery, No Takeout, Accepts Credit Cards, Accepts Apple Pay, Accepts Cryptocurrency, Outdoor Seating, Trendy, Moderate Noise, Casual Dress, Good for Groups, Good for Brunch, Dinner, Street Parking, Beer & Wine Only, TV, Offers Catering, Not Good For Kids, No Wi-Fi, Bike Parking",Mon: 5:00 PM - 11:00 PM | Tue: 5:00 PM - 11:00 PM | Wed: 5:00 PM - 12:00 AM (Next day) | Thu: 5:00 PM - 12:00 AM (Next day) | Fri: 5:00 PM - 12:00 AM (Next day) | Sat: 5:00 PM - 12:00 AM (Next day) | Sun: 5:00 PM - 11:00 PM,,,0
